,Price
31,2850.0
1778,3010.0
3882,8900.0
370,5340.0
1623,3550.0
3767,2600.0
475,5600.0
2319,2650.0
2829,3770.0
3671,14500.0
1441,10230.0
3423,5250.0
832,3490.0
3226,2250.0
1823,5990.0
3624,18000.0
3840,13830.0
139,4500.0
3223,4800.0
2961,11780.0
1562,3950.0
2117,2200.0
2822,3410.0
8,9750.0
1557,1100.0
3953,11990.0
1151,15500.0
1457,7650.0
1005,4450.0
678,13500.0
1553,17090.0
2957,3830.0
1888,10250.0
1652,4500.0
3342,3600.0
432,10000.0
3172,6000.0
3284,2610.0
277,5250.0
1155,4900.0
2448,2100.0
2779,4500.0
1187,3570.0
1729,3850.0
2989,5450.0
2510,2250.0
816,4900.0
2034,4250.0
2785,5500.0
2071,6800.0
3479,8000.0
3939,5990.0
687,6500.0
3691,6460.0
937,6250.0
1378,2500.0
3050,4850.0
3009,2700.0
559,15210.0
3489,6980.0
1310,5750.0
866,2000.0
3216,4110.0
661,2600.0
2890,4250.0
2640,4600.0
1423,9500.0
128,8220.0
1206,4650.0
972,2000.0
1779,6000.0
1316,8300.0
3917,9500.0
2432,13990.0
266,5850.0
2011,3400.0
2917,3500.0
2379,3750.0
3613,8000.0
560,1380.0
1144,6220.0
2995,3010.0
2985,3000.0
551,5430.0
3020,9750.0
103,5350.0
3617,750.0
3641,13000.0
635,9500.0
2169,7190.0
932,16000.0
3056,6500.0
3816,3500.0
878,3850.0
1120,2250.0
1755,7750.0
1478,6250.0
2039,2550.0
3088,5600.0
1051,4250.0
3905,9000.0
723,10750.0
3121,6990.0
3330,5650.0
1504,5200.0
1887,3750.0
962,7000.0
823,4000.0
1129,4750.0
2473,6550.0
3766,7200.0
2076,18550.0
2700,2110.0
1136,1750.0
3016,3140.0
1679,2250.0
143,8400.0
1625,2800.0
968,7400.0
1742,10500.0
2678,3800.0
3823,4400.0
1524,5220.0
2559,3870.0
2548,7250.0
3522,9750.0
1454,2500.0
3683,1530.0
2072,3250.0
3655,2210.0
1974,7000.0
1287,5400.0
2372,9280.0
3290,7000.0
1663,2400.0
2376,5420.0
1579,9920.0
1856,13500.0
2253,6170.0
2673,6550.0
145,5890.0
3318,4500.0
3261,3250.0
3439,3300.0
2316,4300.0
2858,4150.0
3067,4500.0
3250,7250.0
2387,1100.0
3484,6200.0
118,6500.0
285,1250.0
1318,2100.0
2666,16250.0
3445,3250.0
3310,8860.0
2383,4500.0
2777,5350.0
786,3250.0
2762,3600.0
688,7900.0
1913,8850.0
448,2250.0
3718,10750.0
3551,3450.0
2361,16000.0
709,1990.0
2165,5500.0
845,5750.0
165,6150.0
3826,6900.0
2297,4650.0
434,9990.0
3586,3100.0
3299,3650.0
2315,17630.0
390,5950.0
2450,6350.0
399,2300.0
3832,4250.0
2566,3950.0
3600,8350.0
3267,6850.0
1803,2800.0
1882,5770.0
3689,3430.0
3214,8910.0
728,1460.0
2672,9500.0
1451,5250.0
1188,6450.0
446,3750.0
1324,2600.0
3502,2500.0
